"id"	"oas"
"PRSS54"	"oas:101104849"
"SLC24A3"	"oas:101122806"
"GPR37"	"oas:101107437"
"EXD3"	"oas:101104737"
"FRMPD2"	"oas:101115935"
"ACVR2B"	"oas:443156"
"GINS3"	"oas:101105096"
"LRRC61"	"oas:101122271"
"PRKAB1"	"oas:101107899"
"SUFU"	"oas:101114993"
"DCHS2"	"oas:101122136"
"STX19"	"oas:101123255"
"SERPINI2"	"oas:101123083"
"YLPM1"	"oas:101108136"
"YLPM1"	"oas:101108136"
"RPL28"	"oas:101120598"
"PLPP5"	"oas:101118758"
"NDRG4"	"oas:101122719"
"TMEM190"	"oas:101120518"
"SPEF1"	"oas:101120936"
"TMEM266"	"oas:101116431"
